Structure of smiles [idcode]	smiles	name	Total Molweight	cLogP	cLogS	H-Acceptors	H-Donors	Total Surface Area	Relative PSA	Polar Surface Area	Druglikeness	Shape Index	Molecular Flexibility	Molecular Complexity	Rotatable Bonds	
fdyHP@DXtX@kQrJJJJIEQKLd[sUTuUUMAR@@	CN1CNC2=C1C(=O)N(C(=O)N2C)C[C@H](O)CO	Resultados/ZINC000000000221_rank1.pdb	256.261	-1.418	-1.411	8	3	178.28	0.41726	96.35	4.751	0.5	0.39191	0.85734	3	
f`a`PDG@hHsirQSQZIZE\ePPQUTPT`@	c1(cc(c(c(c1)OC)O)OC)[C@@H](C[NH2+]C)O	Resultados/ZINC000000000231_rank1.pdb	228.267	-1.3344	-0.796	5	3	176.74	0.30519	75.53	-1.4545	0.5625	0.37384	0.72942	5	
do~LBM@ivTfYwn]n``JjhPTl@	c1(ccc(c(c1)O)O)[C@@H]([C@H](C)[NH2+]CC)O	Resultados/ZINC000000000232_rank1.pdb	212.268	-0.7745	-1.142	4	4	163.33	0.28801	77.3	-0.76208	0.66667	0.46946	0.68153	4	
fdy`R@FJuzHHcHhdiheDUCSbcPAESUTRCJr@@	C[C@H]1Oc2ccc(Cl)cc2N(C1=O)C[C@H](O)CO	Resultados/ZINC000000000235_rank1.pdb	271.699	0.7231	-2.576	5	2	190.71	0.27681	70	4.7998	0.5	0.38107	0.80649	3	
dg^HBFAiRYfUodz`hJHrIdY@@	[C@H]([C@H](C)[N@@H+](C)CC)(O)c1ccccc1	Resultados/ZINC000000000261_rank1.pdb	194.297	0.0418	-1.372	2	2	179.49	0.17098	24.67	-0.3497	0.64286	0.5485	0.54381	4	
diDH`BBHRUkYjncEDP	C#C[C@@](O)(/C=C/Cl)CC	Resultados/ZINC000000000267_rank1.pdb	144.6	1.2579	-2.175	1	1	122.01	0.10737	20.23	0.2825	0.66667	0.6053	0.67701	2	
fdy`ADK@BAAEirQQJFIIPsDihuRsMUURaTl`@	C(=C(c1cccs1)c1cccs1)[C@H](C)[N@@H+](C)CC	Resultados/ZINC000000000272_rank1.pdb	278.463	1.7249	-3.55	1	1	236.99	0.24604	60.92	2.6574	0.5	0.53357	0.73701	5	
do}D@DpJRY{fU{]jZ``BFP@	[C@@H](CC)(C(=O)NC(=O)N)c1ccccc1	Resultados/ZINC000000000274_rank1.pdb	206.244	1.4126	-2.769	4	2	167.26	0.31574	72.19	4.1012	0.6	0.45624	0.58727	3	
fbeQ@DDTAR\bbTTTRbbVkdmUATQTPcDh`@	C(=O)(Nc1c(C)cccc1C)[C@@H]([N@H+](CCC)CC)CC	Resultados/ZINC000000000276_rank1.pdb	277.43	2.059	-3.287	3	2	255.65	0.16464	33.54	2.8473	0.55	0.53839	0.67019	7	
fbuaP@D@XZpTfye_mYQJSehHHfjjJGh@	O(c1c(cccc1)C(=O)N)CC(=O)OC[C@@H]1CCCO1	Resultados/ZINC000000000288_rank1.pdb	279.291	0.5346	-2.311	6	1	215.08	0.33174	87.85	-1.187	0.6	0.40179	0.67407	7	
