Structure of smiles [idcode]	smiles	name	Total Molweight	cLogP	cLogS	H-Acceptors	H-Donors	Total Surface Area	Relative PSA	Polar Surface Area	Druglikeness	Shape Index	Molecular Flexibility	Molecular Complexity	Rotatable Bonds	
dcnDPIGPqBbDfYu]neXHBiH@@	O=c1[nH]c2cc(Cl)c(Br)cc2o1	Resultados/ZINC000000001052_rank1.pdb	248.463	2.4328	-4.086	3	1	133.02	0.25936	38.33	-10.973	0.58333	0	0.77724	0	
dcLH`ICDRYeufz@`j`@@	Cc1cc(c(cc1Br)C(C)C)O	Resultados/ZINC000000001059_rank1.pdb	229.116	3.57	-3.369	1	1	147.52	0.088802	20.23	-4.1259	0.58333	0.094736	0.69573	1	
fhiQR@JLIIW``qDfYu[UV\MZejfjjk@hYVP@	O=C1NC(=O)N(C=C1Br)[C@@H]1C[C@H]([C@@H](O1)CO)O	Resultados/ZINC000000001063_rank1.pdb	307.099	-1.1408	-1.823	7	3	174.82	0.44211	99.1	-5.0213	0.58824	0.43892	0.78992	2	
fhyh@@@DT{vRQQJQQMQTXYuoURuUUURMPt@@	C[C@@H]1N[C@H]2NCNN2c2c1ccn2C(C)(C)C	Resultados/ZINC000000001071_rank1.pdb	235.334	1.1754	-1.636	5	3	178.35	0.25119	44.26	3.5928	0.41176	0.30347	0.85157	1	
do~D@DATf^UuhYZ`@jh@@	c1(ccc(cc1)OC(C)(C)C)NC(=O)C	Resultados/ZINC000000001075_rank1.pdb	207.272	2.4395	-2.763	3	1	171.92	0.20067	38.33	-12.257	0.66667	0.58854	0.52337	3	
ffc@P@@BLgHhhhhhhmlXUsRoNbt@PTACU@@@	C1(c2cccc(c2C(=O)c2c(cccc12)O)O)C(=O)CCC	Resultados/ZINC000000001077_rank1.pdb	296.321	2.8043	-4.152	4	2	220	0.23764	74.6	-1.9302	0.40909	0.23924	0.89853	3	
flei`@DXUipAIrJJJJXiKQYdmFZjfjjjZAh@	[C@@H]1(NC2=C(C(=O)N(C)C(=O)N2C)N1C)N(C)CCO	Resultados/ZINC000000001081_rank1.pdb	269.304	-0.3089	-0.288	8	2	192.99	0.33598	79.36	3.4479	0.52632	0.36589	0.86889	3	
deVD@FADfyVxVffh@@	CN1CC=CC(=C1)C(=O)O	Resultados/ZINC000000001082_rank1.pdb	139.153	-0.3816	-0.358	3	1	111.63	0.26597	40.54	3.4127	0.6	0.38123	0.65917	1	
fjm@P@@HbWHhddeEDdeLWICejZ`@@``A@d@	C(=C\c1ccc(c(c1)O)O)/C(=O)OCCc1ccccc1	Resultados/ZINC000000001083_rank1.pdb	284.31	3.0586	-2.97	4	2	227.49	0.21645	66.76	-3.2441	0.71429	0.47015	0.60067	6	
dg|d@Dq]@\bbbbfJSSimUSUS@@	CN1C(=O)C2=C(NCN2C)N(C)C1=O	Resultados/ZINC000000001084_rank1.pdb	196.209	-0.3302	-1.747	6	1	137.82	0.34966	55.89	2.4411	0.5	0.015553	0.81859	0	
dcMD`DpY@HrJJJJMTsUTuH@@	C(=O)(n1ccn(C)c1=S)OCC	Resultados/ZINC000000001091_rank1.pdb	186.234	0.7234	-1.709	4	0	145.84	0.39866	64.87	-5.0125	0.66667	0.40726	0.66172	2	
dcuD`FveCDrJQQKFUSUL@@	C(=O)(NC(=O)N)C(Br)(CC)CC	Resultados/ZINC000000001093_rank1.pdb	237.096	1.15	-2.457	4	2	150.06	0.35193	72.19	-1.9364	0.58333	0.60526	0.64378	3	
ff}`PDH`PVlYRYYeU}WYUcNZjB`bjfaFIZ@@	C(=O)([C@H]1CC[C@@H](CC1)C[NH3+])Oc1ccc(cc1)CCC(=O)O	Resultados/ZINC000000001112_rank1.pdb	306.381	-1.298	-3.219	5	2	240.66	0.26452	91.24	-2.5916	0.72727	0.55005	0.65645	7	
foAhB@NRUYpHaIe]YVhpuh@JjjI@ej@@	N[C@@H]1NCN[C@@H](N1)Nc1ccc(Cl)cc1	Resultados/ZINC000000001116_rank1.pdb	227.698	2.0669	-2.019	5	5	168.3	0.3631	74.14	0.30583	0.66667	0.57244	0.58006	2	
dmLH`EBHRYeg[af@`jD@@	c1(ccc(Cl)c2c1C=CC2)O	Resultados/ZINC000000001122_rank1.pdb	166.607	2.5709	-3.013	1	1	121.79	0.10756	20.23	-3.0053	0.54545	0	0.76585	0	
didH`ABHrJJIEn`HH@@	Cc1cc(ccc1Cl)O	Resultados/ZINC000000001124_rank1.pdb	142.585	2.2638	-2.4	1	1	107.29	0.1221	20.23	-2.0981	0.66667	0	0.72259	0	
dcLH`IBHRYeufz@`j`@@	Cc1cc(c(cc1Cl)C(C)C)O	Resultados/ZINC000000001130_rank1.pdb	184.665	3.4508	-3.271	1	1	144.31	0.090777	20.23	-2.1442	0.58333	0.094736	0.69573	1	
dk^HPNHHbXaIf^UvGSifjejFP@	C1(=c2c([C@@H](C=C1Cl)Cl)ccc[nH]2)O	Resultados/ZINC000000001131_rank1.pdb	216.067	1.3633	-3.072	2	2	146.49	0.16766	32.26	1.279	0.53846	0.22518	0.76987	0	
deTH`IBHrJJJJlLADP@@	Cc1cc(cc(C)c1Cl)O	Resultados/ZINC000000001132_rank1.pdb	156.611	2.6077	-2.744	1	1	119.55	0.10958	20.23	-2.0981	0.6	0	0.65917	0	
f`qAB@E@kLbbbbeTrSAN}@QEUTP@@	Cc1cc(c(c(C)c1I)C1CCCCC1)O	Resultados/ZINC000000001143_rank1.pdb	330.204	4.5756	-4.791	1	1	198.21	0.066092	20.23	-5.3501	0.5625	0.33716	0.74106	1	
foA``@D@HdsOOZlyYsUKUUT@@	CC1=CC(=O)N(C(=C1)C1CCCCC1)O	Resultados/ZINC000000001145_rank1.pdb	207.272	1.4285	-2.587	3	1	163.88	0.18117	40.54	-6.5699	0.53333	0.35547	0.69969	1	
fagq@@EFZAIfYfu^[VYhRgIrVkVihJ`jJZhiFIF@@	[C@H]1(CCc2c(c3cccc4c3n2CCC4)C1=O)CN1[C@H](C)NC=C1	Resultados/ZINC000000001149_rank1.pdb	321.423	3.318	-3.636	4	1	242.39	0.14407	37.27	4.1487	0.45833	0.29855	0.94967	2	
